template_slug,template_name,category_slug,subcategory_slug,description,thumbnail_url,preview_url,is_popular,is_new,display_order
tp-01rnz,Diseño TP-01RNZ,tarjetas-presentacion,,Template profesional para tarjetas de presentación,https://cdn.imprentagallito.com/templates/tp/TP-01RNZ.jpg,https://cdn.imprentagallito.com/templates/tp/TP-01RNZ.jpg,true,false,1
tp-04k2a,Diseño TP-04K2A,tarjetas-presentacion,,Template profesional para tarjetas de presentación,https://cdn.imprentagallito.com/templates/tp/TP-04K2A.jpg,https://cdn.imprentagallito.com/templates/tp/TP-04K2A.jpg,true,false,2
tp-070g0,Diseño TP-070G0,tarjetas-presentacion,,Template profesional para tarjetas de presentación,https://cdn.imprentagallito.com/templates/tp/TP-070G0.jpg,https://cdn.imprentagallito.com/templates/tp/TP-070G0.jpg,true,false,3
tp-071e2,Diseño TP-071E2,tarjetas-presentacion,,Template profesional para tarjetas de presentación,https://cdn.imprentagallito.com/templates/tp/TP-071E2.jpg,https://cdn.imprentagallito.com/templates/tp/TP-071E2.jpg,true,false,4
tp-0efpx,Diseño TP-0EFPX,tarjetas-presentacion,,Template profesional para tarjetas de presentación,https://cdn.imprentagallito.com/templates/tp/TP-0EFPX.jpg,https://cdn.imprentagallito.com/templates/tp/TP-0EFPX.jpg,true,false,5
tp-0k2su,Diseño TP-0K2SU,tarjetas-presentacion,,Template profesional para tarjetas de presentación,https://cdn.imprentagallito.com/templates/tp/TP-0K2SU.jpg,https://cdn.imprentagallito.com/templates/tp/TP-0K2SU.jpg,true,false,6
tp-0lm11,Diseño TP-0LM11,tarjetas-presentacion,,Template profesional para tarjetas de presentación,https://cdn.imprentagallito.com/templates/tp/TP-0LM11.jpg,https://cdn.imprentagallito.com/templates/tp/TP-0LM11.jpg,true,false,7
tp-0oajv,Diseño TP-0OAJV,tarjetas-presentacion,,Template profesional para tarjetas de presentación,https://cdn.imprentagallito.com/templates/tp/TP-0OAJV.jpg,https://cdn.imprentagallito.com/templates/tp/TP-0OAJV.jpg,true,false,8
tp-0sl6j,Diseño TP-0SL6J,tarjetas-presentacion,,Template profesional para tarjetas de presentación,https://cdn.imprentagallito.com/templates/tp/TP-0SL6J.jpg,https://cdn.imprentagallito.com/templates/tp/TP-0SL6J.jpg,true,false,9
tp-0wcog,Diseño TP-0WCOG,tarjetas-presentacion,,Template profesional para tarjetas de presentación,https://cdn.imprentagallito.com/templates/tp/TP-0WCOG.jpg,https://cdn.imprentagallito.com/templates/tp/TP-0WCOG.jpg,true,false,10
